index,city_state,count_crimes,lat,lng,population
"412","Cadillac, MI",17,44.2494,-85.4163,11850
"413","Cadiz, KY",6,36.8695,-87.8048,3090
"414","Cahokia, IL",1,38.5649,-90.1792,13880
"415","Cairo, IL",2,37.0062,-89.1819,2083
"416","Calabasas, CA",13,34.1375,-118.6689,23853
"417","Caldwell, ID",3,43.6453,-116.6591,58481
"418","Caldwell, NJ",1,40.839,-74.2776,7941
"419","Caledonia, WI",2,42.7986,-87.8762,25277
"420","Calhoun Falls, SC",6,34.0933,-82.5963,1902
"421","Calhoun, TN",1,35.2979,-84.7454,500
"422","Calimesa, CA",3,33.9874,-117.0542,9160
"423","Calumet City, IL",2,41.6134,-87.5505,35913
"424","Calumet, MI",1,47.2478,-88.4535,687
"425","Calvert City, KY",2,37.0295,-88.3603,2505
"426","Camarillo, CA",18,34.223,-119.0322,76931
"427","Camas, WA",6,45.6005,-122.4305,24418
"428","Cambridge, MA",128,42.3759,-71.1185,118927
"429","Cambridge, MD",4,38.5515,-76.0786,14178
"430","Cambridge, OH",1,40.0221,-81.5868,14736
"431","Camden, DE",3,39.0991,-75.557,3551
"432","Camden, SC",2,34.2565,-80.6087,14303
"433","Camden, TN",1,36.0663,-88.1046,3632
"434","Camdenton, MO",1,38.0121,-92.75,4145
"435","Cameron, MO",4,39.7469,-94.2364,9649
"436","Camp Hill, PA",1,40.2423,-76.9274,7905
"437","Camp Verde, AZ",1,34.5699,-111.8573,11187
"438","Campbell, CA",5,37.2802,-121.9538,41793
"439","Campbellsville, KY",9,37.3446,-85.3511,14772
"440","Canal Fulton, OH",3,40.8895,-81.5882,5408
"441","Canby, OR",1,45.2653,-122.6866,19393
"442","Canfield, OH",1,41.0315,-80.7672,7176
"443","Canton, IL",2,40.5632,-90.0409,13611
"444","Canton, MO",1,40.1295,-91.5266,2302
"445","Canton, OH",4,40.8075,-81.3677,269418
"446","Canton, SD",1,43.3032,-96.5848,3560
"447","Canyon, TX",2,34.9877,-101.9178,16109
"448","Capac, MI",3,43.0074,-82.9271,1837
"449","Cape Coral, FL",5,26.6446,-81.9956,668382
"450","Cape Girardeau, MO",1,37.3108,-89.5597,56551
"451","Capitola, CA",4,36.9772,-121.9538,10010
"452","Carbondale, CO",1,39.3949,-107.2147,7684
"453","Cardington, OH",2,40.498,-82.8937,2071
"454","Carlin, NV",1,40.719,-116.108,2277
"455","Carlisle, KY",1,38.3162,-84.0333,1986
"456","Carlisle, PA",3,40.1999,-77.2042,19198
"457","Carlsbad, CA",17,33.1247,-117.2837,115382
"458","Caro, MI",3,43.489,-83.4025,4821
"459","Carol Stream, IL",3,41.9182,-88.1308,39203
"460","Carolina Beach, NC",4,34.0396,-77.8966,6399
"461","Carpentersville, IL",1,42.1227,-88.2895,37254
"462","Carrboro, NC",5,35.926,-79.0878,21190
"463","Carrington, ND",1,47.4521,-99.1304,1980
"464","Carrollton, KY",6,38.68,-85.1656,4958
"465","Carrollton, TX",4,32.989,-96.8999,139248
"466","Carson, CA",17,33.8374,-118.2559,91394
"467","Carteret, NJ",3,40.5848,-74.2284,23408
"468","Carthage, NC",1,35.3225,-79.4115,2553
"469","Carthage, TX",2,32.1526,-94.3368,6431
"470","Cary, NC",6,35.782,-78.8191,170282
"471","Casey, IL",1,39.3027,-87.9895,2681
"472","Casselberry, FL",2,28.6625,-81.3218,28757
"473","Cassopolis, MI",1,41.9116,-86.0085,1699
"474","Castle Rock, CO",6,39.3763,-104.8535,68484
"475","Castle Rock, WA",1,46.2709,-122.9051,2914
"476","Cathedral City, CA",5,33.8363,-116.4642,55007
"477","Catoosa, OK",3,36.1832,-95.7662,6953
"478","Cave City, KY",1,37.14,-85.9646,2426
"479","Cayce, SC",12,33.9458,-81.0433,14009
"480","Cedar Hill, TX",2,32.581,-96.9591,47930
"481","Cedar Park, TX",17,30.5106,-97.8196,79462
"482","Cedar Rapids, IA",3,41.9665,-91.6782,188038
"483","Cedar Springs, MI",1,43.2202,-85.5535,3785
"484","Celina, OH",6,40.5551,-84.5629,11285
"485","Centennial, CO",31,39.5926,-104.8674,110937
"486","Center Line, MI",4,42.4805,-83.0274,8171
"487","Center, TX",8,31.793,-94.1796,5215
"488","Centerville, OH",13,39.6339,-84.1449,23703
"489","Centerville, TN",2,35.8042,-87.4577,3540
"490","Centerville, UT",7,40.9284,-111.8849,17587
"491","Central Falls, RI",1,41.89,-71.3934,19568
"492","Central Point, OR",2,42.3765,-122.911,18848
"493","Centralia, IL",6,38.5223,-89.1233,16204
"494","Centralia, WA",21,46.7226,-122.9696,42922
"495","Centre, AL",1,34.1551,-85.6699,3762
"496","Ceredo, WV",1,38.3961,-82.5536,1273
"497","Cerritos, CA",9,33.8677,-118.0686,49859
"498","Chamberlain, SD",1,43.7861,-99.3269,2366
"499","Champaign, IL",10,40.1144,-88.2735,159443
"500","Chandler, AZ",8,33.2826,-111.8516,261165
"501","Chanute, KS",4,37.6695,-95.4621,9042
"502","Chapel Hill, NC",19,35.927,-79.0391,64051
"503","Chapel Hill, TN",2,35.6294,-86.6955,1538
"504","Chapin, SC",2,34.1645,-81.3449,1633
